文件名	工作流标识
evaluation_1.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"anomaly_detection\",\"ability\":\"补充信息\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"anomaly_detection\",\"ability\":\"上传数据\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"anomaly_detection\",\"ability\":\"确认建模信息\",\"dep\":[\"id2\"]},{\"id\":\"id4\",\"tool\":\"anomaly_detection\",\"ability\":\"TPT模型微调\",\"dep\":[\"id3\"]},{\"id\":\"id5\",\"tool\":\"anomaly_detection\",\"ability\":\"TPT推理计算\",\"dep\":[\"id2\",\"id4\"]},{\"id\":\"id7\",\"tool\":\"anomaly_detection\",\"ability\":\"上传高频数据\",\"dep\":[\"id5\"]},{\"id\":\"id8\",\"tool\":\"anomaly_detection\",\"ability\":\"故障诊断\",\"dep\":[\"id7\"]}]", "branch_rules": "[{\"from\":\"id2\",\"to\":\"id3\",\"expression\":\"Variable([String(\\\"opt_model_selected\\\")]) Eq false And Variable([String(\\\"is_contain_data\\\")]) Eq true\"},{\"from\":\"id2\",\"to\":\"id5\",\"expression\":\"Variable([String(\\\"opt_model_selected\\\")]) Eq true And Variable([String(\\\"is_contain_data\\\")]) Eq true\"},{\"from\":\"id5\",\"to\":\"id7\",\"expression\":\"Variable([String(\\\"diagnosis_flag\\\")]) Eq true\"}]"}
optimization_1.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"RTO操作优化\",\"ability\":\"补充信息\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"RTO操作优化\",\"ability\":\"上传数据\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"RTO操作优化\",\"ability\":\"确认建模信息\",\"dep\":[\"id2\"]},{\"id\":\"id4\",\"tool\":\"RTO操作优化\",\"ability\":\"TPT推理计算\",\"dep\":[\"id3\"]},{\"id\":\"id6\",\"tool\":\"RTO操作优化\",\"ability\":\"配置方案\",\"dep\":[\"id1\"]},{\"id\":\"id7\",\"tool\":\"RTO操作优化\",\"ability\":\"实时计算\",\"dep\":[\"id6\"]}]", "branch_rules": "[{\"from\":\"id1\",\"to\":\"id2\",\"expression\":\"Variable([String(\\\"opt_model_selected\\\")]) Eq false\"},{\"from\":\"id2\",\"to\":\"id3\",\"expression\":\"Variable([String(\\\"is_contain_data\\\")]) Eq true\"},{\"from\":\"id1\",\"to\":\"id6\",\"expression\":\"Variable([String(\\\"opt_model_selected\\\")]) Eq true\"}]"}
optimization_2.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"Redesign\",\"ability\":\"上传数据与校验\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"Redesign\",\"ability\":\"识别换热器瓶颈\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"Redesign\",\"ability\":\"选择改造目标\",\"dep\":[\"id2\"]},{\"id\":\"id4\",\"tool\":\"Redesign\",\"ability\":\"换热器改造\",\"dep\":[\"id3\"]}]", "branch_rules": "[]"}
control_6.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"EXAM\",\"ability\":\"考试题目生成\",\"dep\":null}]", "branch_rules": "[]"}
statistics_13.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"PID\",\"ability\":\"回路信息管理\",\"dep\":null}]", "branch_rules": "[]"}
evaluation_2.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"Redesign\",\"ability\":\"确认关键变量\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"Redesign\",\"ability\":\"产品质量预测\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"Redesign\",\"ability\":\"动态操作路径规划\",\"dep\":[\"id2\"]}]", "branch_rules": "[]"}
evaluation_3.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"anomaly_detection\",\"ability\":\"补充信息\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"anomaly_detection\",\"ability\":\"上传数据\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"anomaly_detection\",\"ability\":\"确认建模信息\",\"dep\":[\"id2\"]},{\"id\":\"id4\",\"tool\":\"anomaly_detection\",\"ability\":\"TPT推理计算\",\"dep\":[\"id3\"]},{\"id\":\"id6\",\"tool\":\"anomaly_detection\",\"ability\":\"配置方案\",\"dep\":[\"id1\"]},{\"id\":\"id7\",\"tool\":\"anomaly_detection\",\"ability\":\"实时计算\",\"dep\":[\"id6\"]}]", "branch_rules": "[{\"from\":\"id1\",\"to\":\"id2\",\"expression\":\"Variable([String(\\\"opt_model_selected\\\")]) Eq false\"},{\"from\":\"id2\",\"to\":\"id3\",\"expression\":\"Variable([String(\\\"is_contain_data\\\")]) Eq true\"},{\"from\":\"id1\",\"to\":\"id6\",\"expression\":\"Variable([String(\\\"opt_model_selected\\\")]) Eq true\"}]"}
optimization_3.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"Redesign\",\"ability\":\"上传数据与校验\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"Redesign\",\"ability\":\"识别换热网络瓶颈\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"Redesign\",\"ability\":\"识别换热器瓶颈\",\"dep\":[\"id2\"]}]", "branch_rules": "[]"}
optimization_4.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"Redesign\",\"ability\":\"上传数据与校验\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"Redesign\",\"ability\":\"选择改造目标\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"Redesign\",\"ability\":\"选择改造幅度\",\"dep\":[\"id2\"]},{\"id\":\"id4\",\"tool\":\"Redesign\",\"ability\":\"识别换热器瓶颈\",\"dep\":[\"id3\"]},{\"id\":\"id5\",\"tool\":\"Redesign\",\"ability\":\"换热器改造\",\"dep\":[\"id4\"]},{\"id\":\"id7\",\"tool\":\"Redesign\",\"ability\":\"指定现场限制条件\",\"dep\":[\"id3\"]},{\"id\":\"id8\",\"tool\":\"Redesign\",\"ability\":\"换热网络改造\",\"dep\":[\"id7\"]},{\"id\":\"id10\",\"tool\":\"Redesign\",\"ability\":\"校验限制条件\",\"dep\":[\"id7\"]},{\"id\":\"id11\",\"tool\":\"Redesign\",\"ability\":\"换热网络改造\",\"dep\":[\"id10\"]}]", "branch_rules": "[{\"from\":\"id3\",\"to\":\"id4\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 0\"},{\"from\":\"id3\",\"to\":\"id7\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 1\"},{\"from\":\"id7\",\"to\":\"id8\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 0\"},{\"from\":\"id7\",\"to\":\"id10\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 1\"}]"}
optimization_5.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"Redesign\",\"ability\":\"上传数据与校验\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"Redesign\",\"ability\":\"识别换热网络瓶颈\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"Redesign\",\"ability\":\"选择改造目标\",\"dep\":[\"id2\"]},{\"id\":\"id4\",\"tool\":\"Redesign\",\"ability\":\"选择改造幅度\",\"dep\":[\"id3\"]},{\"id\":\"id5\",\"tool\":\"Redesign\",\"ability\":\"识别换热器瓶颈\",\"dep\":[\"id4\"]},{\"id\":\"id6\",\"tool\":\"Redesign\",\"ability\":\"换热器改造\",\"dep\":[\"id5\"]},{\"id\":\"id8\",\"tool\":\"Redesign\",\"ability\":\"指定现场限制条件\",\"dep\":[\"id4\"]},{\"id\":\"id9\",\"tool\":\"Redesign\",\"ability\":\"换热网络改造\",\"dep\":[\"id8\"]},{\"id\":\"id11\",\"tool\":\"Redesign\",\"ability\":\"校验限制条件\",\"dep\":[\"id8\"]},{\"id\":\"id12\",\"tool\":\"Redesign\",\"ability\":\"换热网络改造\",\"dep\":[\"id11\"]}]", "branch_rules": "[{\"from\":\"id4\",\"to\":\"id5\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 0\"},{\"from\":\"id4\",\"to\":\"id8\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 1\"},{\"from\":\"id8\",\"to\":\"id9\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 0\"},{\"from\":\"id8\",\"to\":\"id11\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 1\"}]"}
control_7.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"APC\",\"ability\":\"控制方案优化\",\"dep\":null}]", "branch_rules": "[]"}
statistics_14.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"APC\",\"ability\":\"APC装置信息查询\",\"dep\":null},{\"id\":\"id3\",\"tool\":\"APC\",\"ability\":\"APC控制器性能监控查询\",\"dep\":[\"id1\"]}]", "branch_rules": "[]"}
optimization_6.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"Redesign\",\"ability\":\"上传数据与校验\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"Redesign\",\"ability\":\"识别换热器瓶颈\",\"dep\":[\"id1\"]}]", "branch_rules": "[]"}
optimization_7.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"Redesign\",\"ability\":\"上传数据与校验\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"Redesign\",\"ability\":\"识别换热器瓶颈\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"Redesign\",\"ability\":\"换热器改造\",\"dep\":[\"id2\"]}]", "branch_rules": "[]"}
statistics_15.png	{"workflow": "[{\"id\":\"id1\",\"tool\":\"Redesign\",\"ability\":\"选择改造目标\",\"dep\":null},{\"id\":\"id2\",\"tool\":\"Redesign\",\"ability\":\"上传数据与校验\",\"dep\":[\"id1\"]},{\"id\":\"id3\",\"tool\":\"Redesign\",\"ability\":\"识别换热器瓶颈\",\"dep\":[\"id2\"]},{\"id\":\"id4\",\"tool\":\"Redesign\",\"ability\":\"指定现场限制条件\",\"dep\":[\"id3\"]},{\"id\":\"id5\",\"tool\":\"Redesign\",\"ability\":\"换热网络改造\",\"dep\":[\"id4\"]},{\"id\":\"id7\",\"tool\":\"Redesign\",\"ability\":\"校验限制条件\",\"dep\":[\"id4\"]},{\"id\":\"id8\",\"tool\":\"Redesign\",\"ability\":\"换热网络改造\",\"dep\":[\"id7\"]}]", "branch_rules": "[{\"from\":\"id4\",\"to\":\"id5\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 0\"},{\"from\":\"id4\",\"to\":\"id7\",\"expression\":\"Variable([String(\\\"branch_result\\\")]) Eq 1\"}]"}
